urdu,roman-urdu
لب،,lab
شبر,Shabbar
خارجیوں,kharjiyon
عجم,ajam
خیر بخش,Khair Bakhsh
کبرا,kabra
غیر,mntgzr ghaer
زرِقانونی,zare qanooni
خمدت,khimdat
جگر پارہ,jigar-paarah
خوشی کا رونا,khushii kaa ronaa
جوہر ذاتی,jauhar-e-zaatii
کوچ مین,coach-man
ہیں,kaun
پروان,parwaan
امیہ,Umayyah
مثبت قدم,musbat-qadam
جھیں جھیں,jhiin-jhiin
سب,sabse
پبلک ورکس,public-works
چتاکھا,chitaakhaa
پنڈا,pinda
بہلتے,bahalte
تڑنگا,tadangaa
مرچیلی,mirchelii
بیداد,bedad
مرض ساقط,maraz-e-saaqit
رعونت,raunat
پیپلا,piiplaa
فہیمہ,Fahimah
دل آسا,dil-aasaa
بلاخیز,balaa-khez
گیمز,games
مسلمان,musalman
ایوب,ayyuub
پونگا,pongaa
رواں پروری,ravaan-parvarii
اسراع,israa'
جائنٹ,joint-secretary
لیاقت مند,liyaaqat-mand
عریاں,uryaan
یوں ہی,yuunhii
فعل ناقص,fe'l-e-naaqis
موڑ توڑ کر,mod-tod kar
لسلکی,laa silki
فعلی,fe'lii
تصویر عکسی,tasviir-e-aksii
سہل,sahl
وجیزہ,vajiiza
زود فنا,zuud-e-fanaa
قسمت سے,qismat se
آٹ,aataa
سونٹاسا,sontaa saa haath
داستانی,dastani
دیار,dayar
حدو,huduudullaah
خوشامد طلبی,khushaamad-talabii
سلدانیون,saldaaniyuun
باخبر,baa-khabar
دعوت الی الخیر,daa'vat-e-ilal-khair
قصیدہ,Qaseeda
مجی,majii
ساتھ,kami
تورا,toraa
رقص,raqs
منیجمنٹ,management
محمیہ,mohamiya
عافین,Aafien
جز معاملہ,juz-e-mu'aamala
ڈیری فارم,dairy-farm
ویرانہ,viiraana
شان میں,shaan-men
ہوں,bhi
چوب تلخ,chob-e-talkh
تھوک فروش,thok-farosh
مغلوبیت,magluubiyyat
دمکتا,chamaktaa-damaktaa
فضا,Fazaa
چلتا پھرتا,chaltaa-phirtaa
پھیکاس,phekaas
معذرت خواہانہ,maa'zarat-khvaahaana
ریان,Rayyan
مفصل زاوی,mafsil-zaavii
ادائیگی,adaayigi
کو,qudrat
ارد,Arad
اطاعت,ataat
بچھیرا,bachheraa
سے،,se
پوسٹ,post
بد مسلک,bad-maslak
شکتی,shakti
یافر,Yafir
چوب خوار,chob-khvaar
پهر,phr
ہینڈ بیگ,hand-bag
پراچین,praachiin
جنگ آزمودہ,jang-aazmuuda
مولدین,muvalladiin
مقداری پیمانہ,miqdaarii-paimaana
پھ,phiika
بچھوا,bichhvaa
انتظامات,intizamaa
زرمینہ,Zarmina
ناآلود,naa aaluud
زمین مرہونہ,zamiin-e-marhuuna
پڑھئے,padiye
غایت,ghayat
ابرنیساں,abr-e-naisaan
نازوں کا پلا,naazon kaa palaa
عشیرہ,Asheera
شاکیہ,shaakii honaa
عذال,Azzal
میش پال,meshpaal
ملزم,mulaazim
خانہ دار,khaana-daar
جدی,judii
حرک پیما,harak-paimaa
رصاص اسود,rasaas-e-asvad
روشنی,Roshni
ہٹنی,hatnii-udii
ٹھگی,thagii
گھومنے,ghoomnay
فیضیاب,faizyaab
فیول,fuel
امراضیات جگر,imraziyaat-e-jigar
الے,ille
چھیکا,chhiikaa
اور,yeh
گل جعفری,gul-e-jaa'farii
عنقریب,tum
داگھ,daagh
تھ,thuuk
لڑکھڑاتے,ladkhadate
تعاون,taawun
لۓ,liye
ایشال,Eshaal
پلاتے,pilaate
آموز,ghaer
نیابت,Niyaabat
تانبا,brass
اسٹیٹ,state
گٹھ کٹ,gath-kat
مسخرہ,maskhara
تننا,tannaa
عرق شجری,araq-e-shajarii
جائزپن,jaazez
نر مخروطیہ,nar-makhruutiya
قتل و غارت گری,qatl-o-gaarat-girii
شراب بندی,sharaab-bandii
ریڈیائی,rediyai
جسے,jisey
صارم,Sarim
مداخلت,mudaakhalat
کندیدہ,kandiida
پھولتا,phuultaa
ردبرت,Radbert
آقائیت,aaqaaiyat
تکیہ پوش,takiya-posh
مجمل حساب,mujmal-hisaab
اشرافیت,ashraafiyat
گلشن ایجاد,gulshan-e-iijaad
قصیر,Qaseer
تخمین کیش,takhmiin-kesh
ابار,Abarr
پابرجائی,paa-barjaaii
شارع SHaare^,ref gyr ghaer
ٹنکارنا,tankaaranaa
تو,to
پڑنا,prna
مومی کام,momii-kaam
مشیل,Michelle
بگاڑنا,bigaarna
اندولت,andaulat
جاسکتے,jasakte
چوبی,chobi
طالیسفر,taaliisfar
ٹاٹھی,taathii
چاہتے,to
بوجھنا,buujhnaa
نیم کا غسل,niim kaa gusl
تفضیل نفسی,tafziil-e-nafsii
نیاز,Niaaz
دیار,dayaar
ترکی ضرب,turkii-zarb
راہنما,raahnumaa
مہجور,mahjur
کرو،,agar
کارروائیوں,karwaiyon
پرتکلف,pur takalluf
موذی مرض,muuzii-maraz
مگس,magas
نجف,Najaf
چینا کوٹ,chiinaa-kot
خط زنجیری,khat-e-zanjiirii
منجلا روزہ,manjlaa-roza
چکن دوزی,chikan-dozii
اپنے ڈھب کا,apne dhab kaa
پرچخ,parchakh
چسکی chuski,intj hdrt hazrat
جوکہ,jo ki
پتھروں,pattharon
نشتر زار,nashtar-zaar
پیر و مرشد,piir-o-murshid
مستودع,mustauda'
معیاری پونڈ,me'yaarii pound
اپوسم,aposam
نایاب شے,naayaab shai
چپٹی کمان,chaptii-kamaan
ہفت اورنگ,haft-aurang
نیلی نیلی,nelii-niilii
سینہ شگافی,siina-shigaafii
شخص,doosra
پیمائش قدمی,paimaaish-e-qadamii
سانتھ,saanthrii
خرطومی,khurtuumii
مقرہ,muqir honaa
شیخی,sheykhi
هُورّر,horror
ال صفی,Al Safi
جنس لطیف,jins-e-latiif
اور,paaindatar
قراری,qaraari
منتضد,muntazad
گلبن,Gulban
نائب شاہی,naaib-shaahii
خاکہ,khaakah
سکھائے,injeel
ناشتہ,nashta
اوڈیشا,odisha
درویش دوست,darvesh-dost
تکٹ,tikat
غیر متعارف,gair-muta'aarif
دین ابراہیمی,diin-e-ibraahiimii
بیوہ,beva
نفخی,nafkhii
پروریkuñbah,wari
جھڑ,jhar
لالۂ,lala
پاونتا,paavantaa
مرو,maru
رعشہ,raasha
ولی,Wali
نعمت,niyamt
شخصی رنگ,shakhsii-rang
زرثمن,zar-e-saman
تیسر,tayassur
آرمی,aarmiida
دبازت,dabaazat
کٹاریں,kataaren
پازیب,paazeb
جِلاتا,jilaata
توکل,tavakkul
واریتâdam,waariyat
مہارت کار,mahaarat-kaar
پارلیمینٹ,parliyament
چوگوشیہ,chau-goshiya
مسلول,masluul
تجریدی,tajreedi
تپاس,tapaas
چنتنی,chintinii
ہنڈول,hindol
منہ آئی بات,munh aaii baat
لاتب,Latib
ناپرسیدہ,naa-pursiida
مزید,maziid
نازنین,naaz niin
لمبانا,lambaanaa
دمامیل,damaamiil
مرغ تیز پر,murg-tez-par
متقادم,mutaqaadim
خاتم,Khaatam
پھندو,phandvaar
چموسیا,chamosyaa
آمیز,aamez24
فرہاد,farhad
سیدھے,seedhey
اپ,ap
آئے ـ,aaye
قیام,qeyaam
یز,is
تیلیوں,tiliyon
سپید,sapid
محال,muhaal
تقعر,taqa'ur
تھا،,thaa
تبلر,taballur
مذاق,mazaak
شایان,shayan
سیس,Sees
مارکے,maar ke
بھوٹ,bhot
ہے,hai
تھیں،,thi
ارطال,irtaal
چیت,cheet
نئی نسل,naii-nasl
نرت کار,niratkaar
کونسلیں,councilen
نازن,naa-zan
شریعت رسول,sharii'at-e rasuul
دو؟,do
ہوشمند,Hooshmand
اسے,tod
چوحاشیہ,chau-haashiya
سانک,saank
ناہموار,ham
شفق,shafaq
باجہ,baaja
غپاڑا,gapaadaa
بہری,bahri
گاذرونی,gaazruunii
بھرتیا,bhartiyaa
بارد,baarid
زاری,zaarii
نمرہ,Namra
عادت,aadath
والوں,roakne
آن,an
شاداں,Shaadaan
غائبانہ,ghaebana
معصفر,mu'safar
تیغ بے دریغ,teg-e-be-dareg
عصبی,asabii
صلح نامہ,sulh-naama
سفید گرم,safed-garm
ہے،,haan
سلے,sile
جاں بازی,jaan-baazi
فساحت,fasaahat
بھاپ کا غسل,bhaap kaa gusl
فروغ,farog
بیچنے,bechny
ارضیاتی,arziyaatii
اور,pher
الینوائے,alenoye
حرام,braadari21
جزیره,jazeeah
نسا چری,nisaa-charii
منہ مانگی,munh-maangii
ہودا,haudaa
مائس,maais
پنجہ ظلم,panja-e-zulm
ارقشی,araq-e-shiir
ڈھلنے,dhundley
سویا پھلی,soyaa-phalii
ازسرنو,az-sar-e-nau
وشنو,wishnu
حاند,Hanid
نور گلا,nuur-galaa
نافہ,naafah
ہوئی,chalti
کریں,karen
بھونپا,bhonpaa
من اسکندرانی,man-e-iskandaraanii
چینی,bey
کنٹراسٹ,contrast
مربعی,murabba'ii
مولا بخش,maulaa-bakhsh
رہن تحریری,rehn-e-tahriirii
تنبل,tambal
پاکر,paa
مکنی,mukannii
للی,lily
ٹالسٹائی,talistai
مبخر,mubakhkhar
گروپ بندی,group-bandii
ziyaañ,kaaraanah
کمپرومائز,compromise
جڑا,jara
دیانتدار,diyaanat-daar
امام,imam
حلقے,my
شعوری آگہی,shu'uurii-aagahii
بے,taala
اصلاحات,islaahaat
آرام دہ,aaraam deh aasuudgi
لیا,na
فقاح,fuqaah
سرقین,sarqiin
انس,Unas
اسٹیشن,satation
خیرہ,Khiirah
پانشک,paanshak
ڈبیہ,dibiyah
جمرول,jamruul
ہم صفیر,ham-safiir
اونے پونے,aune-paune
عروسہ,Aroosa
نیستاں,niyastan
جوڑکا,jod kaa
منہ تک,munh tak aanaa
اس کے,uske
ان,humne
نرینہ,nariina
چھنیلا,chhaniilaa
بندھی,bandhi
مقترب,muqtarib
ٹھیل,theyla
meyñ,aana
مغربان,magribaan
ہوتی,to
روکھا,ruukha
پرپاکنی,paripaakinii
بجکر,baj kar
تریا ہٹ,raaj hat  baalak hat  tiryaa hat  jogii hat
گرم مزاج,garm-mizaaj
ثانی,saanii
دغولی,dagoliyaa
lomRi,aawaaz
باقل,baaqla
موصلی,muusilii
اپورن,apvaran
کارخانے,ilaahii kaarkhaane hain
ٹکرٹکر,tukar-tukar
کعبۃ,kaa'batullaah
ثمار,Samaar
پاٹے,paate-khaan
دورِحاضر,dore hazir
احتراس,ihtiraas
ہووے,huye
سہیٹ,sahet
ماردی,maar denaa
مذکورالذکر,mazkuuruzzikr
پیازہ,piyaza
انگت,ingit
لوازمات,lavaazimaat
انگشت,angusht
پیشین,peshiin
باب جبرئیل,baab-e-jibraiil
قربانی,qurbaanii
کو,ilahi
لگڑ,lagad
چانتی,chaantii
شروانی,Sherwani
ٹاپا,taapaa-tohiyaa
پنجیان,panjyaan
عیال,ayaal
نشر کا دن,nashr kaa din
متبہم,mutabahhm
حرامی,harami
تفریق,tafreeq
ننگا ٹنگا,nangaa-tungaa
سنبھال,sambhal
پاس,agle
خوانین,Khwanin
ترستی,tarasatii ne diyaa  bilaktii ne khaayaa  jiib chalii svaad na paayaa
پہاڑی ندی,teyz paharhi nadi
آرائیں,araain
شٹ,shut-up
بہائی,bahaaii
مزے داری,mazedaarii
حاض رہے,haazir hai
موتیا فروش,motiyaa-farosh
شونہ,Shonah
غاشیہ بردار,gaashiya-bardaar
صبیح,Sabeeh
گدام,gudaam
بائیلا,baaelaa
بارز,Bariz
بندے,mere
پگڑی,pagdi
زکوٰتیں,zakaate
مزہد,Mazhad
فعل جائز,fe'l-e-jaaiz
سیارے,saiyare
شکوہ,Shikoh
ترسیل,tarseel
پکستی,pakistani
پرجنیہ,parjanya
چھڑکاؤ,chhidkaav-gaadii
دیگچی,degchii
قتل عام,qatl-e-'aam
بدترین,badhtareen
ذي الخويصرة,zil khawaisarath
اٹھائی,uthaayi
ہےکہ,heke
پیٹریاٹ,pitryat
مکتبانہ,maktabaana
ہاشمی,haashmii
ہموار,hamvaar
حنیفہ,Haneefa
غائبانہ,ghaybaana
مورمن,morman
بیمار,biimar
سُنبل,Sunbool
دھنونت,dhanvant
سگل,saglii
سماعتِ اطفال,samaat-e-itfaal
رساں,zarar rasaan
لڑی,ladi
چھیڑوں,chhedun
شمسی سال,shamsii-saal
مجھارے,majhaare
افتراق,iftiraaq
خانہ کرایہ,khaana-e-karaaya
مسکاہٹ,muskaahat
رزینہ,Razina
عراقی,araqi
فرحت,farhath
خاطر خواہ,khaatir-khvaah
تبلا,tablaa
قنطر,Qantar
مشتری,mushtarii
زجگی,zajgii
کلور,kalur
بازیر,Bazir
حي,he
تلاشی,talaashii
پوتے,hote
حرامی,haraamii
ٹھوکا,thoka
چور انعام,chor-in'aam
کلراٹھی,kallar-uthii
قطع ناقص,qat'-e-naaqis
جائیں,ho
یورک,york
جمہوریاؤں,jamhooriyaon
سائنسدانوں,sciencedaanon
متخصص,mutakhassis
ہلسانا,hulsaanaa
مریتزا,Maritza
شیشہ آلات,shiisha-e-aalaat
منتقش,muntaqash
صدر خاندان,sadr-e-khaandaan
نفس زاد,nafs-zaad
11,11
توفن,tuufan
حصاری,hisaarii
قیمتیں,qeematein
پراستو,Parastoo
لنگروا,langarvaa
لپاڑ,lapaar
سرطم,Sartam
منخول,mankhuul
سرتا,sartaa
تان,taan
نباتاتی جوں,nabaataatii-juun
بدیوں,sar sajdon men man badiyon men
طبع,tabba^
پرچھایا,prachchhaayaa
جیل خانہ دیوانی,jail-khaana-diivaanii
رہزن,rahzan
پربھید,prabhed
آوارہ بخت,aavaara-bakhtii
آیت اللہ,aayatul -laah
واعظہ,vaa'izaa
المیزان,almeezan
بدھ مان,budh-maanii
بٹل,batlohii
پراجنا,praajnaa
پنیکر,panicker
حیران,hairaan
پاگل,pagal
گے,koi
فرقان,Farqaan
ارادے,irada
سفلی عمل,siflii-'amal
کھمبی,khumbii
ٹورانٹو,toranto
اُن,unke
دست پاک,dast-paak
پشمینہ,Pashminah
مشترکہ,mushtarkah with
ننگ خلائق,nang-e-khalaaiq
آنسو,bhnaansu bahaana
متروکہ جائداد,matruuka-jaaedaad
عورت پن,aurat-pan
منسوب شدہ,mansuub-shuda
ہو,karte
بہرے,behrey
موئے نجف,muu-e-najaf
آشکارہ,din aashkaaraa honaa
سوبرس,sau-baras
جپ تپ,jap-tap
دکھ درد,dukh-dard
باہے,bahaa-e-khal'at
براعظموں,barreazmon
چنھانی,chinhaanii
تریسٹ,taresat
الاپنا,alaapnaa
طنطنہ,tantana
دہقانیت,dehqaaniyat
داناؤں,danaon
خارا سنگ,khaaraa-sang
پٹیالا,patyaalaa
ٹھپک,thapak
خیابان,khiyaabaan
کومنتانگ,komantang
وجی,viji
میمنا,meymna
میان رودہ,miyaan-e-ruuda
اُنہیں,unhein
دکھایا،,dikhaya
دے,ya
معلق,muallaq
نصیبوں والا,nasiibon vaalaa
آذاری,abr-e-aazaarii
درخت,daraqth
لج,laaj
دھنگالا,dhungaalaa
خود رائی,khud-raaii
بہت,bura
زخمی,zakhmii
پگھلا,taamba
بتاشا,bataashaa
موسوں,mosaun
داری,Daree
فلاح,Flaah
ثُبَاتٍ,thubatin
نون,noon
اذہاب,Azhab
پنجابن,punjaban
نہ سپہر,nuh-siphar
تھیل,theyla
علیا,Ulyaa
اندوز,andoz
اچنتیں,achintiin
حساب,e
مشیر,mushiir
نیلا,niilaa
ندھیا چل,nidhiyachal
شریک زندگی,shariik-e-zindagii
پبلک ریلیشنز,public-relations
لگاتی,lagtii lagaatii baat
پیٹ کا گہرا,pet kaa gahraa
نہی عن المنکر,nahi-'anil-munkar
محرک,muharrik karna
اجر,ka
بلوی,balviir
جھینگٹ,jhiingat
بے جوڑ,pn bey jor
پرکی,parkii
کیرکٹر,kairiktar
Boy,boy
سود مند,suud-mand
نلوا,nalwa
اصلح,e
عاس,aas
معرفہ,muara
قائم شدہ,qaaim-shuda
اندرجال,indrjaal
ٹرپھس,tirphis
برینٹ,brint
پہنا,pehna
مجلس عام,majlis-e-'aam
مجالس عزا,majaalis-e-'azaa
اصفہان,isfahaan
پرنس,prince
ٹخنے,takhne
ملاکا,malaka
موت اختیاری,maut-e-ikhtiyarii
فورکل,forcal
اقبال,Ikbal
فارس,Fareess
زبرقان,Zibriqan
تھمے,thame
چارجر,charger
ذجاج,zujaaj
ٹوبری,Tobree
معمولی,ma^muuli
مجرائے آب,majraa-e-aab
کائی,koe
بارے,baare mein
قابل رشک,qaabil-e-rashk
سپارنشٹ,supaarnasht
چر,chir
تونکل,taunkal
تکسیر معکوس و عکس,taksiir-e-maa'kuus-o-'aks
خفیہ فروش,khufiya-farosh
پشت,pusht
سپاٹ پن,sapaat-pan
بمقام,ba-muqaam
اریل,hariyal
چوغہ,y lbdh
رندائی,randaaii
نا شکیبائی,naa-shikebaaii
کریمہ,Kareema
ماؤ,maao
عفو,Afoo
حابط,haabit
دت,dat
اختلاف,ikhtilafat
کے,khwahishat
موہانہ,muuhaana
مرکز و محور,markaz-o-mehvar
نقب,scale
پریشانی,preyshaani
القرآن,alquraan
بڑی رائی,badii raaii
پرونا,priona
متبدل,mutabaddil
توقیر,tauqiir
چارہ پانی,chaara-paanii
آصفیہ,Aasifiya
مجتہدین,mujtahidiin
حیوان,haivan
قصیدہ,qasiidah
سرمایہ کار,sarmaaya-kaar
دُعاۃ,duath
ما اس سما,Ma As Sama
عبد النعیم,abdul nayeem
بچھا,bichhaa
بتائیں,bitayen
شہرہ,Shohra
جانے,jaany
ضروریات زندگی,zaruuriyaat-e-zindagii
سورت,ne
يا,ya
دور دراز کا,duur-daraaz kaa
تھومیا,thuumiyaa
نافرمانی,naafarmaanii
رقمی,raqmi
کنجر,kanjar
پرستھ,prasth
اور,tum
باطہارت,baa-tahaarat
تاریخ,taareekhe
مرجھانا,murjhaana
شانتی,shaanti
ناخبردار,naa-khabardaar
ساجھے,saajhe
زلف شب گوں,zulf-e-shab-guun
بھکا,bhakaa
رانگ کا میل,raang kaa mail
بتاؤں,bataauun
موج ملند خاتم بندی,mauj-e-maland-khaatim-bandii
شمارہ,shumaara
دھک دھک,dhak-dhak
پرگھٹی,piraghatii
پر شکن,pur-shikan
اڑن کھٹولا,udan-khatolaa
جفا پرور,jafaa-parvar
دعوت الی اللہ,daa'vat-e-ilallaah
مولویانہ داڑھی,maulaviyaana-daadhii
خمیر انگیز,khamiir-angez
نرخرہ,narkhara
مسلم آزاری,muslim-aazaarii
خسرو,Khusru
بارش،,baarish
ظاہریت,zaahiriyyat
وصفیہ,vasfiya
گل چاندنی,gul-e-chaandnii
سکونت,sakuwant
سمیت,sameth
سر دست,sar-e-dast
حوصلہ مندی,hausla-mandii
لارل,lahr lenaa
مثبتہ,musbata
گیتی,Geti
خود اقتداری,khud-iqtidaarii
زبانوں,zabaano
نطاق,nitaaq
آفرین,Aafreen
تشخیص خام,tashkhiis-e-khaam
یارز,Yariz
مقالے,maqalay
مہ و سال,mah-o-saal
یقیناً,us
ق,qaaf
شہنائی,shahnai
کائنات,kainat
رنجیدہ,ranjida
برسر,barsar
اندھی سرکار,andhii sarkaar
پاردی,paardii
تجارتی انقلاب,tijaaratii-inqilaab
زمام,zamaam
سائبہ,saaibaa
رہ رسم,rah-o-rasm
جاتنہ,Jaatnah
شاخ وفور,shaakh e wufuur
ملکی نظریہ,mulkii-nazariya
قحل,qahl
معصیات,maa'siyaat
بیل,bael
مدار ذات,madaar-e-zaat
طفلانہ مزاجی,tiflaana-mizaajii
سعدون,saa'd-o-nahs
پاغر,paagur
استعفا,isti'faa
تخلید,takhliid
لیڈر,leader
جھگڑے,jhagre
زمینی تنہ,zamiinii-tana
ٹھٹ کے ٹھٹ,that ke that
مانیا,maaniyaaii
نظہرہ,Naazhirah
سانٹھ,gntthsaanth
اِضافہ,azaafa
کارنامہ,kaar-naama
مجددیہ,mujaddidya
رانیا,Ranya
مستان,mastaan
فریزیئر,frazier
اضطراب,izteraab
طبانچہ,tabaancha
ظفر قریں,zafar-qariin
زرغنی,zarghani
عندیت,indiyat
نے,rubb
لیلا,laila
مہرانگیز,Mehrangiz
مرد کار,mard-e-kaar
بیرزت,Berezat
ریسہ,Raeesah
بدری کی ڈاک,badrii kii daak
اتنی,utni
معاشرتی,muashrati
مالکہ,maalika
لوید,sau bed na ek laved
باہمی,bahami
ارغوانی,argavaanii
یادگاریں,yadgaren
درایت,Diraayat
رکن اقل,rukn-e-aqil
پارچنا,paarchanaa
فہد,fahd
جولاں,jaulaan
تاپس,taapas
خود مختاری,khud-mukhtaarii
طلع,Talei
دو ایوانی,do-aivaanii
تلوار کا بال,talvaar kaa baal
لٹکاؤ,latkaao
تعادل,ta'aadul
ماہی شکم,maahii-shikam
مازن,Mazen
نفحہ,nafha
مضطربہ,muztariba
بادیہ,Baadiya
اقاقیا,aqaaqiyaa
غلاف,purde
قصد,qasd
تفاؤل,tafaaul
زمردی,zumurrudii
پنڈ کھجور,pind-khajuur
محمد تقی,Muhammad Taqqee
مرشد زادہ,murshid-zaada
لوکس,lok-sabhaa
الوقت,indal-vaqt
سانی,saanii
یابخت,yaa-bakht
اوتار,autaar
میرے,saamne
کس و ناکس,kas-o-naa-kas
فرمائشی,farmaaishii
ندوش,nidosh
ہتھیلی پر رکھنا,hathelii par rakhnaa
kaañpta,hu
الائچی دانہ,ilaaichii-daana
عبد الرشد,Abdur Rashid
عاقبت نا,ndyshyaaqibat naa andeyshi
تفسندہ,tafsinda
ہبیرہ,hubairah
پہچاننا,pahchaannaa
کہا,tu
کاٹ,daali
تائیدی,taaiidii
باطل,hokar
آو بھاو,aav-bhaav
اختتام,e
عائل,aail
ذائقہ دار,zaaiqa-daar
ارمغاں,armughan
اراکین,araakiin
گرم رفتار,garm-raftaar
توسیعâdam,tausii^
ایقان,iiqaan
معاشیات,muaashiyaat
قرعہ,qar'a
گولڈ,gold-finch
ڈھببا,dhabba
تجھے,sangsaar
اٹھاون,athawan
فاعل حقیقی,faa'il-e-haqiiqii
شاذ,Ashaz
خوشخرام,khush-khiraam
مراقیت,miraaqiyyat
پرنلا,parnalaa
ادیب,Adeeb
آمین,Aameen
شافیہ,Shaafiyah
توال,tavaal
فادر کنفیسر,father-confessor
اعراج,e'raaj
عالم عالم,aalam 'aalam
قسم,ke
مشترک بولی,mushtarak-bolii
انگنیا,angnyaas
ثقالت,siqaalat
مخول بازی,makhaul-baazii
جو ٬سی,jo
جواہری,javaaharii
آیت,Ayat
مسابقت,musaabaqat
خزانہ غیبی,khazaana-e-gaibii
مشترکہ قبضہ,mushtaraka-qabza
عنوانی,unvaanii
پرسائ,parsaa
مسکراتا,muskurata
ٹوم ٹام,tuum-taam
طنز و تشنیع,tanz-o-tashnii'
نشید شعر,nishiid-she'r
ڈالے,daaley
کنیت,kuniat
کلید,Kalid
امی,hamii
مسح,mash
آموزگار,Aamozgar
جب,ne
عنصر پرستی,unsar-parastii
اسکین,scan
پیٹو,petuu
پبتر,pabitr
دلکا,dil kaa
چھاپا,chapa
شب گرد,shab-e-gard
یکایک,yeka
زعم فاسد,zo'm-e-faasid
معطل,mo^attal
خیمۂ,khema
ذریعہ,zariye
وذیلہ,Wazila
ماتم خانہ,maatam-khaana
رائج,raayij
نسل افزائی,nasl-afzaaii
غیر,naamiyaati
شر انگیز,shar-angez
ًاندازا,andaazan
تیرہ,tira
شقاوت,se
مزمور,mazmuur
پتل,putla
گپڑ,gapar
دشمنی,dushmane
حیویہ,hayavayya
متنازعہ فیہ سوالات,mutanaaza'a-fiih-savaalaat
لوازمہ,lawaazma
پستکالیہ,pustakaalaya
تھائی لینڈ,thailand
صحبت,sohbat
شام تار,shaam-e-taar
عاریت,aariyat
ہتھ رسی,hath-rasii
چیمہ,cheema
مادام,maadaam
جبیں,jabiin
سمٹ,simat
سائیڈ,side
چست,chust
رجع,ruju^
کرے,karey
چک,check
مورچوں,morchon
موازی,muvaazii
چھئی پالان,chhaii-paalaan
چکھا,chakhaa
سلجھانا,suljhaana
متفاوت الحال,mutafaavit-ul-haal
اسٹوڈنٹس,students
اکبری,akbarii
ناحج,Nahij
کائیں کائیں,kaaen-kaaen
متابادل,mutaabaadil
عارف,Aref
سامان,ke
شب عروسی,shab-e-'aruusii
شیش ناگ,sheshnaag
ڈرائیوروں,driveron
بانس,baans
خلاقی,khalaqi
چھلوا,chhalaawa
شیعہ,shia
حيل,hell
تمہارے,koi
مانگنی,maangni
مستشیر,Mustashir
قراقل,qaraaqalii
رگڑی,ragdii
نقش گر,naqsh-gar
دوسری,aur
بیرون,bairoone
سیات,siyah-taab
کیے,ja
الائچی,ilaaichii-daana
مضرات,muzirraat
میں,mulk
سلیماں,sulaiman
سرجیون,sarjiivan
نازلی,Nazli
سینگ دار,siing-daar
سفرہ,sufra
ديرسڈے,thursday
پیشہ,peyshah
چپرا,chapraa
وبال جاں,vabaal-e-jaan
گواہ سرکاری,gavaah-e-sarkaarii
لامتناہی,laamutnaahi
گرہن,grahan
رقمی گرفت,raqamii-giraft
شان الحق,shanul haq
ممنونی,mamnuunii
سوالی,sawali
غری,ghari
نظاموں,nazaamon
پلی,palii
مساعدت,musaa'idat
درکھٹ,durkhat
لائے,laye
yaksaañ,taur par
عبد,abd
مصلحت سوزی,maslahat-sozii
انظام,inzaam
سہیم,sahiim
جی کا غبار,jii kaa gubaar
مبردات,mubarridaat
گلاں,galan
رابڑی,raabdii
لفہ,laffa
ایک سا,ek-saan
لینڈ,4ndshpland
اعجام,aa'jaam
​​کو,ko
شگفتہ نگاری,shigufta-nigaarii
اپیک,upyak
دھینوری,dhiinvarii
سبیگہ,sabiiga
چشم ساغر,chashm-e-saagar
ارباب,arbaabe
الیاس,ilyaas
زمینوں,zaminon
خواص,khavaas
پرسش,pursish
پریدا,piryadaa
نوچ ناچ کر,noch naach kar
کارکردگی,karkardagi
موشگافیاں,mushagafiyan
قیئ,qaey
گا,isi
چھلنگ,chhalang
بکر,Bakr
تولیا,tauliyaa
گودھل,godhal
رھا,raha
س,su
ویں,wen
اوپر چھنٹ,uupar-chhant
مہربانی,meharbani
مرد زدہ,mard-zada
ماده,ek
اس,naqab
بھولکڑ,bhuulakkad
فرغل,fargul
حب,hubb
کارندوں,karindon
اخبار الاخيار,akhbarul akhbar
سپھلتا,saphaltaa
گوپی,gopi
درقا,Darqa
حالت طفلی,haalat-e-tiflii
پڑھتے,tasbiih padhte rahnaa
نیہ,neh
کانقشہ,ka naqsha
ہم,unke
تمثل,tamassul
ملسی,malsii
دلائی,dalaaii
پری زاد,Pari Zad
تناسلیاتی,tanaasuliyyaatii
مزائل,mizaail
گسیل,gusiil karnaa
ڈھکیلنا,dhakeylna
طیبہ,tayaba
چلمیں,chilmen bhartaa hai
فیبئن,fabine
ہمدردی,ham dardi
جھوٹ سچ,jhuut-sach
الگورتھم,algorithm
چپیہا,chapehaa
سے,aamaal
قتل عمد,qatl-e-'amad
عویصہ,Uwaisah
تاوڑی,taavdii
خداوند نعمت,khudaavand-e-ne'mat
بات کہتے میں,baat kahte men
چنبیلی,chambelii
روغن تلخ,raugan-e-talkh
رحما,Ruhama
اداکاروں,adakaron
بودا,boda
نا آگاہی,naa-aagaahii
شماص,Shimas
حرفتی,harfati
آکشن,section
مسئولات,masuulaat
کھڑتال,khadtaal
لوک ادب,lok-adab
جس,jaaye
عزلت نشینی,uzlat-nashiinii
ہیروئن,heroin
ستارہ,Starr
معکوس طریقہ,maa'kuus-tariiqa
کھر والا,khur vaalaa
عطبل,Atbel
شہامہ نن,Shahama Nin
گنگچی,gungchii
دل شگفتہ,Dilshugafta
سنگی طباعت,sangii-tabaa'at
تقاسمہ,taqaasima
تجریع,tajrii'
لطیفہ,latiifah
نا محکمی,naa-mohkamii
قدم,ka
دینے,denay
